Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_00_18
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,476,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,28,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,24,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,4,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1040,2,5
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,647,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,71,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,29,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1041,4,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,609,1
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,74,2
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,46,3
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,6,4
2021-01-01,1,Ciutat Vella,3,la Barceloneta,15,1042,2,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,626,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,81,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,46,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,5,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,561,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,72,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,31,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,5,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,4,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,879,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,64,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,23,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,5,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,3,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,694,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,64,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,27,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,8,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,2,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,711,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,61,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,33,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,5,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,3,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,774,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,76,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,49,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,14,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,10,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,460,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,52,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,40,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,7,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,4,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,564,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,64,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,38,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,8,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,691,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,76,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,36,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,5,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,8,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,797,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,108,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,71,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,14,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,5,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,799,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,76,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,35,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,9,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,539,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,55,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,14,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,8,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1,5
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,448,1
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,65,2
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,40,3
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,7,4
2021-01-01,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,394,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,62,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,50,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,9,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2001,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,583,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,95,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,57,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,8,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2002,4,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2003,348,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2003,54,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2003,24,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2003,5,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,444,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,66,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,45,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,9,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2004,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2005,691,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2005,88,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2005,64,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2005,12,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,536,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,81,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,66,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,6,4
2021-01-01,2,Eixample,5,el Fort Pienc,20,2006,1,5
2021-01-01,2,Eixample,5,el Fort Pienc,20,2007,428,1
2021-01-01,2,Eixample,5,el Fort Pienc,20,2007,38,2
2021-01-01,2,Eixample,5,el Fort Pienc,20,2007,35,3
2021-01-01,2,Eixample,5,el Fort Pienc,20,2007,7,4
